Resignation,Business Travel,CF_age band,CF_current Employee,Current Status,Department,Education,Employee Number,Gender,Job Role,Marital Status,Over Time,Trainings Last Year,Age,Daily Rate,Distance From Home,Education Degree,Environment Satisfaction,Job Involvement,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Stock Option Level,Total Working Years,Work Life Balance,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,46,Female,Research Scientist,Divorced,No,3,43,1273,2,Associates Degree,4,4,3,2645,1,12,3,2,6,2,3,1,4
Yes,Travel_Rarely,45 - 54,0,Ex-Employees,Sales,Marketing,47,Male,Sales Representative,Married,Yes,2,50,869,3,Associates Degree,1,2,3,2683,1,14,3,0,3,3,2,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,49,Female,Sales Representative,Married,No,3,35,890,2,Bachelor's Degree,4,3,4,2014,1,13,3,0,2,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,51,Female,Research Scientist,Married,Yes,3,36,852,5,Master's Degree,2,2,1,3419,9,14,3,1,6,4,1,0,0
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Life Sciences,52,Female,Sales Executive,Married,No,3,33,1141,1,Bachelor's Degree,3,4,1,5376,2,19,3,2,10,3,3,1,3
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,53,Male,Laboratory Technician,Divorced,No,3,35,464,4,Associates Degree,3,3,4,1951,1,12,3,1,1,3,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,54,Female,Laboratory Technician,Divorced,No,6,27,1240,2,Master's Degree,4,3,1,2341,1,13,3,1,1,3,0,0,0
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Life Sciences,55,Male,Laboratory Technician,Single,No,2,26,1357,25,Bachelor's Degree,1,1,3,2293,1,12,3,0,1,2,0,0,1
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Life Sciences,56,Male,Sales Executive,Single,No,0,27,994,8,Bachelor's Degree,4,3,3,8726,1,15,3,0,9,3,8,1,7
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Medical,57,Female,Laboratory Technician,Single,No,2,30,721,1,Associates Degree,3,3,4,4011,1,23,4,0,12,3,8,3,7
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,R&D,Technical Degree,58,Female,Research Director,Married,No,0,41,1360,12,Bachelor's Degree,2,3,3,19545,1,12,3,0,23,3,15,15,8
No,Non-Travel,25 - 34,1,Current Employees,Sales,Marketing,60,Male,Sales Executive,Single,No,2,34,1065,23,Master's Degree,2,3,3,4568,0,20,4,0,10,3,5,8,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,61,Male,Research Scientist,Married,No,1,37,408,19,Associates Degree,2,3,2,3022,4,21,4,0,8,3,0,0,0
No,Travel_Frequently,45 - 54,1,Current Employees,Sales,Marketing,62,Male,Sales Executive,Single,Yes,4,46,1211,5,Master's Degree,1,3,4,5772,4,21,4,0,14,3,6,0,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,63,Male,Laboratory Technician,Married,No,2,35,1229,8,High School,4,4,4,2269,1,19,3,0,1,3,0,0,1
Yes,Travel_Rarely,45 - 54,0,Ex-Employees,R&D,Life Sciences,64,Male,Laboratory Technician,Single,Yes,2,48,626,1,Associates Degree,1,2,3,5381,9,13,3,0,23,3,0,0,0
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Technical Degree,65,Male,Laboratory Technician,Single,Yes,3,28,1434,5,Master's Degree,3,3,3,3441,1,13,3,0,2,2,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,68,Female,Sales Executive,Divorced,Yes,2,44,1488,1,Doctoral Degree,2,3,1,5454,5,21,4,1,9,2,3,1,3
No,Non-Travel,35 - 44,1,Current Employees,R&D,Medical,70,Male,Healthcare Representative,Married,Yes,3,35,1097,11,Associates Degree,3,2,1,9884,2,13,3,1,10,3,0,2,3
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,72,Female,Sales Executive,Married,Yes,2,26,1443,23,Bachelor's Degree,3,2,4,4157,7,19,3,1,5,2,2,0,0
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,73,Female,Research Director,Single,Yes,1,33,515,1,Associates Degree,1,3,4,13458,1,12,3,0,15,3,14,8,12
No,Travel_Frequently,35 - 44,1,Current Employees,Sales,Life Sciences,74,Male,Sales Executive,Married,No,3,35,853,18,Doctoral Degree,2,3,1,9069,1,22,4,1,9,2,8,1,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,75,Female,Laboratory Technician,Married,Yes,3,35,1142,23,Master's Degree,3,3,1,4014,3,15,3,1,4,3,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,76,Male,Laboratory Technician,Divorced,No,3,31,655,7,Master's Degree,4,3,4,5915,3,22,4,1,10,2,7,1,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,77,Male,Manufacturing Director,Divorced,No,2,37,1115,1,Master's Degree,1,2,3,5993,1,18,3,1,7,4,5,0,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,78,Male,Manufacturing Director,Married,Yes,3,32,427,1,Bachelor's Degree,1,3,4,6162,1,22,4,1,9,3,8,7,8
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,79,Female,Laboratory Technician,Single,No,2,38,653,29,Doctoral Degree,4,3,4,2406,1,11,3,0,10,3,3,9,9
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,80,Female,Research Director,Divorced,Yes,2,50,989,7,Associates Degree,2,2,3,18740,5,12,3,1,29,2,3,13,8
No,Travel_Rarely,Over 55,1,Current Employees,Sales,Life Sciences,81,Female,Sales Executive,Single,No,3,59,1435,25,Bachelor's Degree,1,3,1,7637,7,11,3,0,28,2,16,7,9
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Technical Degree,83,Female,Healthcare Representative,Divorced,No,2,36,1223,8,Bachelor's Degree,3,3,3,10096,1,13,3,3,17,3,14,12,8
No,Travel_Rarely,Over 55,1,Current Employees,R&D,Medical,84,Female,Manager,Divorced,Yes,2,55,836,8,Bachelor's Degree,4,3,3,14756,2,14,3,3,21,3,0,0,2
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,85,Male,Manufacturing Director,Single,No,3,36,1195,11,Bachelor's Degree,2,2,2,6499,1,13,3,0,6,3,5,0,3
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,86,Male,Research Scientist,Divorced,No,2,45,1339,7,Bachelor's Degree,2,3,1,9724,2,17,3,1,25,3,0,0,0
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,88,Male,Research Scientist,Married,No,2,35,664,1,Bachelor's Degree,2,3,1,2194,4,13,3,1,5,2,2,1,2
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,R&D,Medical,90,Male,Research Scientist,Married,Yes,0,36,318,9,Bachelor's Degree,4,2,3,3388,0,17,3,1,2,2,0,0,0
No,Travel_Frequently,Over 55,1,Current Employees,Sales,Life Sciences,91,Female,Sales Executive,Single,No,2,59,1225,1,High School,1,2,3,5473,7,11,3,0,20,2,3,1,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,94,Male,Research Scientist,Married,No,3,29,1328,2,Bachelor's Degree,3,3,2,2703,0,23,4,1,6,3,4,0,4
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,95,Male,Research Scientist,Single,No,4,31,1082,1,Master's Degree,3,3,2,2501,1,17,3,0,1,3,1,1,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,96,Male,Research Scientist,Married,No,3,32,548,1,Bachelor's Degree,2,3,2,6220,1,17,3,2,10,3,4,0,9
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,97,Female,Laboratory Technician,Married,No,3,36,132,6,Bachelor's Degree,2,4,4,3038,3,12,3,0,5,3,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,98,Female,Manufacturing Director,Single,No,2,31,746,8,Master's Degree,3,3,4,4424,1,23,4,0,11,3,7,1,8
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,100,Male,Sales Executive,Single,No,2,35,776,1,Master's Degree,3,2,1,4312,0,14,3,0,16,3,13,2,8
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Other,101,Male,Research Director,Married,Yes,3,45,193,6,Master's Degree,4,3,1,13245,4,14,3,0,17,4,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,102,Male,Research Director,Single,No,3,37,397,7,Master's Degree,1,3,3,13664,4,13,3,0,16,4,2,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,HR,Medical,103,Male,Human Resources,Divorced,Yes,2,46,945,5,Associates Degree,2,3,2,5021,8,22,4,1,16,3,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,104,Male,Laboratory Technician,Married,Yes,1,30,852,1,High School,4,2,4,5126,1,12,3,2,10,2,8,3,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,105,Male,Research Scientist,Single,No,3,35,1214,1,Bachelor's Degree,2,2,3,2859,1,18,3,0,6,3,4,0,4
No,Travel_Rarely,Over 55,1,Current Employees,Sales,Life Sciences,106,Male,Sales Executive,Married,No,4,55,111,1,Associates Degree,1,3,4,10239,3,14,3,1,24,3,0,1,0
No,Non-Travel,35 - 44,1,Current Employees,R&D,Medical,107,Female,Research Scientist,Divorced,Yes,3,38,573,6,Bachelor's Degree,2,1,4,5329,7,12,3,3,17,3,11,1,9
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,110,Male,Manufacturing Director,Married,No,2,34,1153,1,Associates Degree,1,3,2,4325,1,15,3,0,5,3,2,1,3
No,Travel_Rarely,Over 55,1,Current Employees,R&D,Life Sciences,112,Male,Manufacturing Director,Single,No,3,56,1400,7,Bachelor's Degree,4,1,4,7260,4,11,3,0,37,2,4,0,2
No,Travel_Rarely,Under 25,1,Current Employees,Sales,Technical Degree,113,Male,Sales Representative,Divorced,No,3,23,541,2,High School,3,3,1,2322,3,13,3,1,3,3,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,116,Male,Laboratory Technician,Married,No,4,51,432,9,Master's Degree,4,3,4,2075,3,23,4,2,10,3,2,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,117,Male,Healthcare Representative,Married,No,3,30,288,2,Bachelor's Degree,3,2,4,4152,1,19,3,3,11,3,10,10,8
Yes,Travel_Rarely,45 - 54,0,Ex-Employees,Sales,Medical,118,Male,Sales Executive,Single,No,3,46,669,9,Associates Degree,3,2,4,9619,1,16,3,0,9,3,8,4,7
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,119,Male,Healthcare Representative,Married,No,3,40,530,1,Master's Degree,3,2,2,13503,1,22,4,1,22,2,3,11,11
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Marketing,120,Male,Sales Executive,Single,Yes,2,51,632,21,Master's Degree,3,3,4,5441,0,22,4,0,11,1,7,1,0
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,121,Female,Sales Executive,Divorced,Yes,4,30,1334,4,Associates Degree,3,2,2,5209,1,12,3,3,11,2,8,2,7
No,Travel_Frequently,45 - 54,1,Current Employees,R&D,Medical,124,Male,Healthcare Representative,Married,Yes,5,46,638,1,Bachelor's Degree,3,2,1,10673,2,13,3,1,21,2,9,9,5
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,125,Male,Sales Executive,Single,No,0,32,1093,6,Master's Degree,2,3,3,5010,1,16,3,0,12,3,8,5,7
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Technical Degree,126,Female,Research Director,Married,No,5,54,1217,2,Master's Degree,1,3,3,13549,9,12,3,1,16,1,3,0,3
No,Travel_Rarely,Under 25,1,Current Employees,Sales,Other,128,Female,Sales Executive,Married,No,2,24,1353,3,Associates Degree,1,3,3,4999,0,21,4,1,4,2,2,0,2
No,Non-Travel,25 - 34,1,Current Employees,Sales,Medical,129,Male,Sales Executive,Married,No,3,28,120,4,Bachelor's Degree,2,3,3,4221,1,15,3,0,5,4,4,0,4
No,Travel_Rarely,Over 55,1,Current Employees,Sales,Medical,131,Male,Sales Executive,Single,No,1,58,682,10,Master's Degree,4,3,3,13872,0,13,3,0,38,2,10,1,8
No,Non-Travel,35 - 44,1,Current Employees,R&D,Medical,132,Male,Laboratory Technician,Married,No,3,44,489,23,Bachelor's Degree,2,3,2,2042,4,12,3,1,17,4,2,1,2
Yes,Travel_Rarely,35 - 44,0,Ex-Employees,HR,Human Resources,133,Male,Human Resources,Divorced,Yes,3,37,807,6,Master's Degree,3,3,1,2073,4,22,4,0,7,3,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,134,Male,Research Scientist,Single,No,2,32,827,1,High School,4,3,1,2956,1,13,3,0,1,3,0,0,0
Yes,Travel_Frequently,Under 25,0,Ex-Employees,R&D,Life Sciences,137,Female,Laboratory Technician,Single,Yes,5,20,871,6,Bachelor's Degree,4,2,4,2926,1,18,3,0,1,3,0,1,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Other,138,Female,Research Scientist,Single,No,3,34,665,6,Master's Degree,1,3,3,4809,1,14,3,0,16,3,13,2,10
No,Non-Travel,35 - 44,1,Current Employees,R&D,Life Sciences,139,Male,Healthcare Representative,Divorced,No,2,37,1040,2,Associates Degree,3,2,4,5163,5,14,3,1,17,4,0,0,0
No,Non-Travel,Over 55,1,Current Employees,HR,Human Resources,140,Female,Manager,Married,No,3,59,1420,2,Master's Degree,3,2,4,18844,9,21,4,1,30,3,2,2,2
No,Travel_Frequently,45 - 54,1,Current Employees,R&D,Life Sciences,141,Female,Research Director,Married,Yes,1,50,1115,1,Bachelor's Degree,1,3,2,18172,3,19,3,0,28,2,3,0,7
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,Sales,Marketing,142,Male,Sales Executive,Single,Yes,1,25,240,5,Bachelor's Degree,3,2,3,5744,1,11,3,0,6,3,4,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,143,Male,Research Scientist,Married,No,2,25,1280,7,High School,4,2,4,2889,1,11,3,2,2,3,2,2,1
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Medical,144,Female,Laboratory Technician,Single,No,5,22,534,15,Bachelor's Degree,2,3,4,2871,1,15,3,0,1,3,0,0,0
No,Travel_Frequently,45 - 54,1,Current Employees,R&D,Medical,145,Female,Healthcare Representative,Single,No,1,51,1456,1,Master's Degree,1,2,1,7484,3,20,4,0,23,2,12,12,8
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Life Sciences,147,Male,Laboratory Technician,Single,Yes,3,34,658,7,Bachelor's Degree,1,1,3,6074,1,24,4,0,9,3,7,0,6
No,Non-Travel,45 - 54,1,Current Employees,HR,Human Resources,148,Female,Manager,Single,Yes,3,54,142,26,Bachelor's Degree,4,4,4,17328,2,12,3,0,23,3,3,4,4
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Life Sciences,150,Male,Laboratory Technician,Married,No,2,24,1127,18,High School,2,3,3,2774,0,12,3,1,6,3,3,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,151,Female,Research Scientist,Divorced,No,3,34,1031,6,Master's Degree,3,2,2,4505,6,15,3,1,12,3,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,152,Male,Sales Executive,Single,No,3,37,1189,3,Bachelor's Degree,3,3,4,7428,2,12,3,0,12,3,3,1,3
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,153,Female,Manager,Single,No,6,34,1354,5,Bachelor's Degree,3,2,1,11631,2,12,3,0,14,3,10,5,8
No,Travel_Frequently,35 - 44,1,Current Employees,Sales,Technical Degree,154,Female,Sales Executive,Married,No,6,36,1467,11,Associates Degree,2,3,4,9738,0,14,3,1,10,3,7,2,8
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,155,Female,Laboratory Technician,Divorced,No,2,36,922,3,Associates Degree,1,3,4,2835,5,22,4,1,7,3,0,0,0
No,Travel_Frequently,35 - 44,1,Current Employees,Sales,Life Sciences,158,Male,Manager,Married,Yes,3,43,394,26,Associates Degree,3,3,4,16959,1,12,3,2,25,4,12,4,12
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,159,Male,Research Scientist,Divorced,No,2,30,1312,23,Bachelor's Degree,1,1,3,2613,1,25,4,3,10,2,7,0,9
No,Non-Travel,25 - 34,1,Current Employees,Sales,Marketing,160,Male,Sales Executive,Married,No,2,33,750,22,Associates Degree,3,3,2,6146,0,13,3,1,8,4,7,0,7
Yes,Travel_Rarely,Over 55,0,Ex-Employees,R&D,Life Sciences,161,Female,Research Scientist,Married,Yes,2,56,441,14,Master's Degree,2,3,2,4963,9,18,3,3,7,3,4,4,3
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,162,Male,Research Director,Single,No,5,51,684,6,Bachelor's Degree,1,3,3,19537,7,13,3,0,23,3,18,15,15
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,Sales,Life Sciences,163,Male,Sales Executive,Married,Yes,3,31,249,6,Master's Degree,2,1,3,6172,4,18,3,0,12,2,7,7,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Other,164,Female,Research Scientist,Married,No,3,26,841,6,Bachelor's Degree,3,2,2,2368,1,19,3,0,5,2,4,4,3
Yes,Travel_Rarely,Over 55,0,Ex-Employees,R&D,Medical,165,Female,Healthcare Representative,Married,No,3,58,147,23,Master's Degree,4,3,4,10312,1,12,3,1,40,2,10,15,6
Yes,Travel_Rarely,Under 25,0,Ex-Employees,Sales,Marketing,167,Male,Sales Representative,Single,Yes,2,19,528,22,High School,4,3,3,1675,1,19,3,0,0,2,0,0,0
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Technical Degree,169,Male,Laboratory Technician,Married,No,2,22,594,2,High School,3,3,4,2523,0,14,3,1,3,3,1,2,1
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,170,Female,Manufacturing Director,Married,No,2,49,470,20,Master's Degree,3,3,1,6567,1,14,3,0,16,2,11,5,11
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,171,Female,Research Scientist,Single,No,2,43,957,28,Bachelor's Degree,2,4,3,4739,4,12,3,0,18,3,2,1,2
No,Travel_Frequently,45 - 54,1,Current Employees,Sales,Marketing,174,Female,Sales Executive,Single,No,3,50,809,12,Bachelor's Degree,3,3,4,9208,4,11,3,0,16,3,2,2,1
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,Sales,Life Sciences,175,Female,Sales Executive,Married,Yes,2,31,542,20,Bachelor's Degree,2,1,3,4559,3,11,3,1,4,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,176,Male,Sales Executive,Divorced,Yes,2,41,802,9,High School,3,3,3,8189,3,13,3,1,12,3,7,0,7
No,Travel_Rarely,25 - 34,1,Current Employees,HR,Life Sciences,177,Female,Human Resources,Married,No,3,26,1355,25,High School,3,3,3,2942,1,23,4,1,8,3,7,5,7
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,178,Male,Manufacturing Director,Divorced,No,0,36,216,6,Associates Degree,2,3,2,4941,6,20,4,2,7,3,2,0,1
Yes,Travel_Frequently,45 - 54,0,Ex-Employees,R&D,Life Sciences,179,Male,Manufacturing Director,Single,No,2,51,1150,8,Master's Degree,1,1,4,10650,2,15,3,0,18,3,2,0,3
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,182,Female,Sales Executive,Married,No,1,39,1329,4,Master's Degree,4,2,3,5902,4,14,3,1,17,4,11,5,9
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,183,Male,Sales Executive,Married,No,3,25,959,28,Bachelor's Degree,1,2,3,8639,2,18,3,0,6,3,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,HR,Human Resources,184,Male,Human Resources,Married,Yes,2,30,1240,9,Bachelor's Degree,3,3,4,6347,0,19,3,0,12,1,9,4,7
